order,partitions,mf_type,margin_percent,train_RMSE,train_MAE,train_MAPE,test_RMSE,test_MAE,test_MAPE,execution_time
2,13,gaussian,0.1,324.28524316744694,305.4117021276596,872.9045813294028,723.412977950124,518.9833333333332,260.33922484908896,0.03378105163574219
2,13,bell,0.1,324.28524316744694,305.4117021276596,872.9045813294028,723.412977950124,518.9833333333332,260.33922484908896,0.03762483596801758
2,13,triangular,0.1,324.28524316744694,305.4117021276596,872.9045813294028,723.412977950124,518.9833333333332,260.33922484908896,0.012404680252075195
2,11,trapezoidal,0.1,241.56111741432412,175.87417794970997,205.52513612699605,727.8947460655712,487.13484848484853,120.99644469158636,0.011444807052612305
4,17,bell,0.1,159.1280460942176,129.4688172043011,232.87629789468426,730.5445765545956,426.5249999999999,84.92724544808281,0.10788416862487793
4,17,triangular,0.1,159.1280460942176,129.4688172043011,232.87629789468426,730.5445765545956,426.5249999999999,84.92724544808281,0.021092891693115234
4,17,gaussian,0.1,159.1280460942176,129.4688172043011,232.87629789468426,730.5445765545956,426.5249999999999,84.92724544808281,0.06811213493347168
4,17,trapezoidal,0.1,256.55401555693675,236.94490828589497,710.9385554988538,731.5523583598882,486.57009803921557,204.90991681904123,0.025638103485107422
1,9,gaussian,0.1,923.8033346217154,894.5121693121696,2275.275748318001,732.4848007524344,666.0750000000002,680.8515481717002,0.08941388130187988
1,9,bell,0.1,923.8033346217154,894.5121693121696,2275.275748318001,732.4848007524344,666.0750000000002,680.8515481717002,0.06267213821411133
1,9,triangular,0.1,923.8033346217154,894.5121693121696,2275.275748318001,732.4848007524344,666.0750000000002,680.8515481717002,0.030582666397094727
5,7,gaussian,0.1,699.3699127148742,678.8832432432433,1814.1039455744046,737.2942537865507,630.9416666666666,537.3601273282305,0.03582024574279785
5,7,triangular,0.1,699.3699127148742,678.8832432432433,1814.1039455744046,737.2942537865507,630.9416666666666,537.3601273282305,0.015252351760864258
5,7,bell,0.1,699.3699127148742,678.8832432432433,1814.1039455744046,737.2942537865507,630.9416666666666,537.3601273282305,0.041553497314453125
5,11,bell,0.1,533.108059671289,506.05945945945945,1433.9884803096604,737.6610301034843,553.2133333333335,412.34357806019915,0.06126213073730469
5,11,gaussian,0.1,533.108059671289,506.05945945945945,1433.9884803096604,737.6610301034843,553.2133333333335,412.34357806019915,0.05541038513183594
5,11,triangular,0.1,533.108059671289,506.05945945945945,1433.9884803096604,737.6610301034843,553.2133333333335,412.34357806019915,0.018131732940673828
4,7,trapezoidal,0.1,488.19636208905666,469.5860215053763,1276.6385231619033,739.3955662115736,579.6416666666668,391.3664043735775,0.013478279113769531
4,11,gaussian,0.1,534.8983661397041,509.2561290322581,1434.2864539692962,740.4488499101972,577.0333333333334,422.9429070086226,0.04613041877746582
4,11,bell,0.1,534.8983661397041,509.2561290322581,1434.2864539692962,740.4488499101972,577.0333333333334,422.9429070086226,0.048900604248046875
4,11,triangular,0.1,534.8983661397041,509.2561290322581,1434.2864539692962,740.4488499101972,577.0333333333334,422.9429070086226,0.02071237564086914
4,11,trapezoidal,0.1,233.0209646629501,178.6964809384165,233.6729766880935,755.2185140702593,487.6810606060606,119.6903742575888,0.019982099533081055
4,7,gaussian,0.1,702.8512189033881,683.7881720430108,1812.257158550856,758.0350321719966,636.6583333333333,537.170796225622,0.040960073471069336
4,7,triangular,0.1,702.8512189033881,683.7881720430108,1812.257158550856,758.0350321719966,636.6583333333333,537.170796225622,0.013135910034179688
4,7,bell,0.1,702.8512189033881,683.7881720430108,1812.257158550856,758.0350321719966,636.6583333333333,537.170796225622,0.06213736534118652
3,11,triangular,0.1,539.1630272634749,515.2517647058825,1435.1002249342632,790.7418087677759,643.5250000000002,425.4731544967372,0.03949379920959473
3,11,gaussian,0.1,539.1630272634749,515.2517647058825,1435.1002249342632,790.7418087677759,643.5250000000002,425.4731544967372,0.12354493141174316
3,11,bell,0.1,539.1630272634749,515.2517647058825,1435.1002249342632,790.7418087677759,643.5250000000002,425.4731544967372,0.1265885829925537
4,13,gaussian,0.1,321.47497603243363,301.8870967741936,874.2853844810883,794.9322256226208,579.0666666666666,261.5124591817452,0.05445218086242676
4,13,triangular,0.1,321.47497603243363,301.8870967741936,874.2853844810883,794.9322256226208,579.0666666666666,261.5124591817452,0.02362060546875
4,13,bell,0.1,321.47497603243363,301.8870967741936,874.2853844810883,794.9322256226208,579.0666666666666,261.5124591817452,0.06228303909301758
3,9,trapezoidal,0.1,281.8195262421692,248.63386809269167,579.7329091120583,808.2241779678777,532.2111111111111,179.02228843035826,0.02029585838317871
2,13,trapezoidal,0.1,583.9267761958292,560.0503273322423,1519.7506241139533,811.9273679999324,658.3782051282052,453.51778468694135,0.012522459030151367
5,13,bell,0.1,320.53350560622556,300.46162162162165,874.3301649278145,815.3913886390183,582.35,258.60447274930596,0.18327832221984863
5,13,gaussian,0.1,320.53350560622556,300.46162162162165,874.3301649278145,815.3913886390183,582.35,258.60447274930596,0.21763968467712402
5,13,triangular,0.1,320.53350560622556,300.46162162162165,874.3301649278145,815.3913886390183,582.35,258.60447274930596,0.03477048873901367
4,9,triangular,0.1,870.3856721474509,827.7795698924731,2277.7513142202924,818.8767082615877,725.5916666666668,679.4734844898169,0.02130603790283203
4,9,bell,0.1,870.3856721474509,827.7795698924731,2277.7513142202924,818.8767082615877,725.5916666666668,679.4734844898169,0.04394674301147461
